system:index,NDVI_count,NDVI_max,NDVI_mean,NDVI_median,NDVI_min,NDVI_stdDev,image_count,month,year,.geo
129,71346,0.728,0.408096564690201,0.40433158170866645,-0.0392,0.09452549072061221,1,10.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,71346,0.67705,0.3322399514588737,0.3261313015793268,-0.12585000000000002,0.06980641174537078,2,11.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,71346,0.7682500000000001,0.4272732075686577,0.4199555908114366,-0.053750000000000006,0.10813781945980672,2,12.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,71346,0.86595,0.5950016375270141,0.6114086629545159,-0.0789,0.1198317733953428,2,1.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,71346,0.8421000000000001,0.5962618588715474,0.6151535570055241,0.0234,0.11261254675141373,2,2.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,71346,0.73255,0.5046664373049801,0.5215003409989053,0.060200000000000004,0.09968653334805473,2,3.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,71346,0.6607000000000001,0.27667747104709856,0.26757460607130323,0.05605,0.05172490488623284,2,4.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,71346,0.5771,0.2372590145813172,0.22460454277510167,0.05525,0.05884690442137733,2,5.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,71346,0.5961500000000001,0.23793741042999475,0.23240770002011607,0.00115,0.05947157507407361,2,6.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,71346,0.7552000000000001,0.3846921179259469,0.3808003809245108,0.03645000000000001,0.09900435989496807,2,7.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,71346,0.9676500000000001,0.6050300349134354,0.6210745976085782,-0.0529,0.1312577664037311,2,8.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,71346,0.8076000000000001,0.5600845442400196,0.5645010305519108,-0.027299999999999998,0.10484311358246949,2,9.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,71346,0.7129000000000001,0.3773699603979377,0.3730464499653335,-0.0748,0.06743621932251224,2,10.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,71346,0.7018,0.34242097982025216,0.33793674714125294,-0.1893,0.08311229709015637,1,11.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,71346,0.7999,0.43283162342488435,0.4316529712961072,-0.1052,0.10102822147629274,2,12.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,71346,0.8356,0.5712871103669529,0.5878714846987325,-0.11200000000000002,0.116624455028614,2,1.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,71346,0.8873500000000001,0.6829769313148497,0.7089401563281942,-0.045599999999999995,0.11717966973142754,2,2.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,71346,0.80965,0.53929041961159,0.5527509009885218,0.058199999999999995,0.10000176460056573,2,3.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,71346,0.59345,0.2458244276525633,0.24022764703410682,0.03645,0.041282381987665054,2,4.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,71346,0.585,0.26005689666653653,0.24802007924335412,0.014100000000000001,0.06387531342470788,2,5.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,71346,0.67895,0.3158089024815361,0.3143988384276816,0.01395,0.07330535822106886,2,6.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,71346,0.8701000000000001,0.43111972953105493,0.43159909351751763,-0.050550000000000005,0.1183028225758443,2,7.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,71346,0.9025500000000001,0.6120557393598478,0.6308806584182051,-0.08285000000000001,0.11223723964083619,2,8.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,71346,0.8392000000000001,0.5554200072366651,0.5645084557554093,-0.13455,0.10526955840110626,2,9.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,71346,0.7514000000000001,0.43382347327642656,0.43554962535541997,-0.1401,0.08813826761489227,1,10.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,71346,0.7129000000000001,0.344458069911729,0.33790465449168666,-0.14855000000000002,0.07788199149709651,2,11.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,71346,0.8139000000000001,0.5015464382482866,0.5059271358058335,-0.0612,0.11098101657890196,2,12.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,71346,0.8544,0.6288332496043341,0.6503137401513447,-0.13355,0.11741975400990154,2,1.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,71346,0.8853500000000001,0.6905516637693092,0.71673610670079,-0.1015,0.11273915133695163,2,2.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,71346,0.77705,0.5496803938158333,0.5566169864928824,0.023750000000000007,0.09240993632345107,2,3.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,71346,0.6267,0.2763541946981231,0.2675743800219407,-0.0447,0.0526314169823543,2,4.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,71346,0.6426499999999999,0.262169086696696,0.25193212601675247,0.03320000000000001,0.06970044453261648,2,5.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,71346,0.6071500000000001,0.263473935183237,0.25976668249522566,-0.02645,0.06602730002318624,2,6.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,71346,0.7946500000000001,0.36398172810660123,0.3612497537568568,0.027200000000000002,0.09902139248635174,2,7.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,71346,0.8549500000000001,0.5850516006934691,0.5996553526781279,-0.049600000000000005,0.1066662181989236,2,8.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,71346,0.8033,0.5529429682315583,0.5683543414467787,0.06565,0.10012355520196857,2,9.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
